Station_ID	Tide_Amp (ft)	calendar_year	min_date	max_date	90th%Upper_water_level (ft NAVD88)	10%thLower_water_level (ft NAVD88)	avg_water_level (ft NAVD88)	avg_flooding (ft)	90%thUpper_flooding (ft)	10%thLower_flooding (ft)	GEOID	std_deviation_water_level(ft NAVD88)	std_deviation_avg_flooding (ft)
BA01-01	0.08194155	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.16	0.16	0.67	-0.07	0.43	-0.57	GEOID99   	0.4	0.4
BA01-01	0.08226085	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.08	-0.11	0.51	-0.22	0.35	-0.84	GEOID99   	0.45	0.45
BA01-01	0.08099973	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.15	-0.11	0.64	-0.09	0.42	-0.84	GEOID99   	0.52	0.52
BA01-01	0.08666319	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.48	-0.08	0.79	0.06	0.75	-0.81	GEOID99   	0.64	0.64
BA01-01	0.09251112	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.57	0.08	0.9	0.17	0.84	-0.65	GEOID99   	0.57	0.57
BA01-01	0.09157721	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.66	0.38	1.04	0.31	0.93	-0.35	GEOID99   	0.52	0.52
BA01-01	0.09283441	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	1.81	0.54	1.13	0.4	1.08	-0.19	GEOID99   	0.51	0.51
BA01-01	0.1172542	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.27	0.24	0.77	0.04	0.54	-0.49	GEOID99   	0.43	0.43
BA01-01	0.09790546	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.71	0.39	1.08	0.35	0.98	-0.34	GEOID99   	0.6	0.6
BA01-01	0.1061788	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.8	0.49	1.15	0.42	1.07	-0.24	GEOID99   	0.51	0.51
BA01-01	0.1154758	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.77	0.11	0.97	0.24	1.04	-0.62	GEOID99   	0.64	0.64
BA01-01	0.1206957	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.48	0.26	0.92	0.19	0.75	-0.47	GEOID99   	0.54	0.54
BA01-01	0.1201165	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.69	0.51	1.13	0.4	0.96	-0.22	GEOID99   	0.51	0.51
BA01-02	0.08637333	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.28	0.04	0.66	-0.13	0.49	-0.76	GEOID99   	0.48	0.48
BA01-02	0.08932368	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.87	0.54	1.32	0.53	1.08	-0.25	GEOID99   	0.54	0.54
BA01-02	0.09007899	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.66	0.15	0.94	0.15	0.87	-0.64	GEOID99   	0.56	0.57
BA01-02	0.08304084	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.26	-0.02	0.68	-0.12	0.47	-0.82	GEOID99   	0.53	0.53
BA01-02	0.100741	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.44	0.12	0.8	0.01	0.65	-0.68	GEOID99   	0.54	0.54
BA01-02	0.1139251	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	1.37	0.32	0.88	0.09	0.58	-0.47	GEOID99   	0.51	0.51
BA01-02	0.1400658	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.19	0.01	0.65	-0.14	0.4	-0.78	GEOID99   	0.47	0.47
BA01-02	0.1193642	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.57	0.19	0.88	0.09	0.78	-0.6	GEOID99   	0.52	0.52
BA01-02	0.1134947	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.49	0.3	0.95	0.16	0.7	-0.49	GEOID99   	0.46	0.46
BA01-02	0.1185284	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.75	0.27	1.06	0.27	0.96	-0.52	GEOID99   	0.55	0.55
BA01-02	0.1270516	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.67	0.13	0.96	0.17	0.88	-0.66	GEOID99   	0.61	0.61
BA01-02	0.1327168	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.52	0.21	0.93	0.14	0.73	-0.58	GEOID99   	0.57	0.57
BA01-02	0.1391841	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.64	0.46	1.09	0.3	0.85	-0.33	GEOID99   	0.53	0.53
BA01-03	0.07705544	1998	1/1/1998 12:00:00 AM	12/31/1998 11:00:00 PM	1.78	0.54	1.12	0.39	1.05	-0.19	GEOID99   	0.48	0.48
BA01-03	0.1038958	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.33	0.1	0.72	-0.01	0.6	-0.63	GEOID99   	0.45	0.45
BA01-03	0.09304052	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.41	0.16	0.89	0.1	0.62	-0.63	GEOID99   	0.51	0.51
BA01-03	0.09547208	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.62	0.23	1.03	0.24	0.83	-0.56	GEOID99   	0.57	0.57
BA01-03	0.1012923	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.53	0.18	0.86	0.07	0.74	-0.61	GEOID99   	0.55	0.55
BA01-03	0.1198053	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.14	-0.01	0.59	-0.2	0.35	-0.8	GEOID99   	0.48	0.48
BA01-03	0.1210012	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.48	0.07	0.77	-0.02	0.69	-0.72	GEOID99   	0.57	0.57
BA01-03	0.1170021	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.78	0.46	1.18	-0.05	0.55	-0.77	GEOID99   	0.61	0.61
BA01-03	0.1202234	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.82	0.36	1.13	-0.1	0.59	-0.87	GEOID99   	0.55	0.55
BA01-03	0.1217334	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.74	0.06	0.95	-0.28	0.51	-1.17	GEOID99   	0.65	0.65
BA01-03	0.1336654	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.53	0.23	0.95	-0.28	0.3	-1	GEOID99   	0.57	0.57
BA01-03	0.1381048	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.52	0.34	0.97	-0.26	0.29	-0.89	GEOID99   	0.52	0.52
BA01-07	0.2395723	1998	1/1/1998 1:00:00 AM	12/31/1998 11:00:00 PM	1.48	0.26	0.9	-0.15	0.43	-0.79	GEOID99   	0.49	0.49
BA01-07	0.2022055	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.42	-0.2	0.66	-0.39	0.37	-1.25	GEOID99   	0.63	0.63
BA01-07	0.2199809	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.23	0.06	0.67	-0.38	0.18	-0.99	GEOID99   	0.45	0.45
BA01-07	0.2370025	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.33	0.04	0.78	-0.28	0.28	-1.01	GEOID99   	0.51	0.51
BA01-07	0.2483967	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.5	0.04	0.86	-0.19	0.45	-1.01	GEOID99   	0.59	0.59
BA01-07	0.2655053	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.7	-0.03	0.9	-0.15	0.65	-1.08	GEOID99   	0.65	0.65
BA01-07	0.2818116	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.91	0.61	1.29	-0.36	0.26	-1.04	GEOID99   	0.62	0.62
BA01-07	0.2774461	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.85	0.3	1.1	-0.55	0.2	-1.35	GEOID99   	0.59	0.59
BA01-09	0.08816701	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.42	0.4	0.91	-0.12	0.39	-0.63	GEOID99   	0.41	0.41
BA01-09	0.09744041	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.35	0.2	0.8	-0.23	0.32	-0.83	GEOID99   	0.44	0.44
BA01-09	0.08973179	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.43	0.18	0.94	-0.09	0.4	-0.85	GEOID99   	0.52	0.52
BA01-09	0.09230883	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.73	0.41	1.19	0.16	0.7	-0.62	GEOID99   	0.54	0.54
BA01-09	0.1033183	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.53	0.41	1	-0.03	0.5	-0.62	GEOID99   	0.44	0.44
BA01-09	0.0960788	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.6	0.38	1	-0.03	0.57	-0.65	GEOID99   	0.5	0.5
BA01-09	0.1051602	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	1.54	0.58	1.08	0.05	0.51	-0.45	GEOID99   	0.47	0.47
BA01-09	0.1328839	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.27	0.3	0.78	-0.25	0.24	-0.73	GEOID99   	0.41	0.41
BA01-09	0.1222066	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.57	0.34	0.94	-0.09	0.54	-0.7	GEOID99   	0.47	0.48
BA01-10	0.1574581	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.24	0.18	0.74	-0.39	0.11	-0.95	GEOID99   	0.43	0.43
BA01-10	0.1466825	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.26	0.14	0.71	-0.42	0.13	-0.99	GEOID99   	0.44	0.44
BA01-10	0.1553002	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.13	-0.05	0.54	-0.59	0	-1.18	GEOID99   	0.46	0.46
BA01-10	0.1646498	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.04	-0.4	0.4	-0.73	-0.09	-1.53	GEOID99   	0.58	0.58
BA01-10	0.1897915	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.49	0.2	0.9	-0.23	0.36	-0.93	GEOID99   	0.52	0.52
